old_player_names,new_player_names,Team_short,Team,Player_type
Avesh Khan,Avesh Khan,LSG,Lucknow Super Giants,BOWL
Atharva Taide,Atharva Taide,SRH,Sunrisers Hyderabad,BAT
Ashutosh Sharma,Ashutosh Sharma,DC,Delhi Capitals,AR
AA Kulkarni,Arshin Kulkarni,LSG,Lucknow Super Giants,AR
Arshdeep Singh,Arshdeep Singh,PBKS,Punjab Kings,BOWL
Arshad Khan,Arshad Khan,GT,Gujarat Titans,AR
Arjun Tendulkar,Arjun Tendulkar,MI,Mumbai Indians,BOWL
AS Roy,Anukul Roy,KKR,Kolkata Knight Riders,AR
Anuj Rawat,Anuj Rawat,GT,Gujarat Titans,BAT
A Kamboj,Anshul Kamboj,CSK,Chennai Super Kings,AR
A Nortje,Anrich Nortje,KKR,Kolkata Knight Riders,BOWL
A Raghuvanshi,Angkrish Raghuvanshi,KKR,Kolkata Knight Riders,BAT
AD Russell,Andre Russell,KKR,Kolkata Knight Riders,AR
Akash Singh,Akash Singh,LSG,Lucknow Super Giants,BOWL
Akash Madhwal,Akash Madhwal,RR,Rajasthan Royals,BOWL
Akash Deep,Akash Deep,LSG,Lucknow Super Giants,BOWL
AM Rahane,Ajinkya Rahane,KKR,Kolkata Knight Riders,BAT
AK Markram,Aiden Markram,LSG,Lucknow Super Giants,BAT
A Zampa,Adam Zampa,SRH,Sunrisers Hyderabad,BOWL
Abishek Porel,Abishek Porel,DC,Delhi Capitals,BAT
Abhishek Sharma,Abhishek Sharma,SRH,Sunrisers Hyderabad,AR
A Manohar,Abhinav Manohar,SRH,Sunrisers Hyderabad,BAT
Abdul Samad,Abdul Samad,LSG,Lucknow Super Giants,AR
RK Singh,Rinku Singh,KKR,Kolkata Knight Riders,BAT
CV Varun,Varun Chakravarthy,KKR,Kolkata Knight Riders,AR
MP Yadav,Mayank Yadav,LSG,Lucknow Super Giants,BOWL
VR Iyer,Venkatesh Iyer,KKR,Kolkata Knight Riders,AR
HV Patel,Harshal Patel,SRH,Sunrisers Hyderabad,AR
JM Sharma,Jitesh Sharma,RCB,Royal Challengers Bengaluru,BAT
MM Sharma,Mohit Sharma,DC,Delhi Capitals,BOWL
KS Sharma,Karn Sharma,MI,Mumbai Indians,BOWL
HKH Pandya,Krunal Pandya,RCB,Royal Challengers Bengaluru,AR
DL Chahar,Deepak Chahar,MI,Mumbai Indians,BOWL
I Sharma,Ishant Sharma,GT,Gujarat Titans,BOWL
Nil,Prabhsimran Singh,PBKS,Punjab Kings,BAT
Nil,Wanindu Hasaranga,RR,Rajasthan Royals,BOWL
Nil,Nishant Sindhu,GT,Gujarat Titans,AR
Nil,Aryan Juyal,LSG,Lucknow Super Giants,BAT
Nil,Robin Minz,MI,Mumbai Indians,BAT
Nil,Luvnith Sisodia,KKR,Kolkata Knight Riders,BAT
Nil,Josh Inglis,PBKS,Punjab Kings,BAT
Nil,Ryan Rickelton,MI,Mumbai Indians,BAT
Nil,AM Ghazanfar,MI,Mumbai Indians,BOWL
Nil,Swastik Chikara,RCB,Royal Challengers Bengaluru,BAT
Nil,Himmat Singh,LSG,Lucknow Super Giants,BAT
Nil,Vansh Bedi,CSK,Chennai Super Kings,BAT
Nil,Kunal Singh Rathore,RR,Rajasthan Royals,BAT
Nil,Zeeshan Ansari,SRH,Sunrisers Hyderabad,BOWL
Nil,Digvesh Singh,LSG,Lucknow Super Giants,BOWL
Nil,Harnoor Singh,PBKS,Punjab Kings,BAT
Nil,C Andre Siddarth,CSK,Chennai Super Kings,BAT
Nil,Rajvardhan Hangargekar,LSG,Lucknow Super Giants,AR
Nil,Ashwani Kumar,MI,Mumbai Indians,BOWL
Nil,Gurjapneet Singh,CSK,Chennai Super Kings,BOWL
Nil,Matthew Breetzke,LSG,Lucknow Super Giants,BAT
J Yadav,Jayant Yadav,GT,Gujarat Titans,AR
Nil,Priyansh Arya,PBKS,Punjab Kings,AR
Nil,Manoj Bhandage,RCB,Royal Challengers Bengaluru,AR
P Dubey,Praveen Dubey,PBKS,Punjab Kings,AR
Nil,Ajay Mandal,DC,Delhi Capitals,AR
Nil,Vipraj Nigam,DC,Delhi Capitals,AR
